BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,1,1,0,0,0,1,.250,.812
BichetteSS,4,0,2,1,0,1,1,.262,.735
Guerrero1B,3,1,1,2,0,0,1,.266,.832
KirkC,3,2,1,0,1,0,1,.312,.878
"Hernández, TRF",4,2,2,4,0,2,1,.267,.794
Gurriel Jr.DH,4,0,1,0,0,1,0,.304,.792
"Chapman, M3B",3,1,0,0,1,2,1,.218,.700
Espinal2B,4,0,2,0,0,1,0,.274,.723
"Tapia, RLF",3,1,1,1,0,0,3,.264,.664
,32,8,11,8,2,7,9,,
