BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MendickSS,5,0,1,1,0,1,4,.286,.715
Vaughn1B,5,1,1,0,0,0,3,.295,.831
Robert Jr.CF,5,1,1,0,0,0,1,.281,.728
"Abreu, JDH",2,2,0,0,3,1,2,.253,.763
Burger3B,3,3,2,1,1,1,2,.267,.817
Moncada3B,0,0,0,0,1,0,0,.136,.408
PollockLF,5,1,3,2,0,0,0,.231,.627
GrandalC,4,0,1,1,1,2,2,.167,.491
EngelRF,3,0,0,1,0,1,2,.242,.650
a-SheetsPH,1,0,0,0,0,1,2,.204,.596
Harrison2B,3,1,1,1,0,2,2,.180,.546
,36,9,10,7,6,9,20,,
