PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Pilkington,5.0,3,4,4,3,3,2,4.30
Morgan,1.0,0,0,0,1,2,0,3.93
"De Los Santos, E(W, 4-0)",1.0,0,0,0,0,1,0,2.91
"Stephan(H, 16)",0.2,2,0,0,0,2,0,2.43
"Hentges(H, 5)",0.1,0,0,0,0,1,0,2.65
"Clase(S, 34)",1.0,0,0,0,0,1,0,1.34
,9.0,5,4,4,4,10,2,
