PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Mikolas,7.0,4,0,0,1,5,0,1.21
"Cabrera, G",1.0,0,0,0,0,1,0,2.84
"Gallegos(L, 0-1)(BS, 1)",0.2,4,4,4,0,0,0,6.43
McFarland,0.1,1,1,1,0,1,1,1.69
,9.0,9,5,5,1,7,1,
