 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2015,,81,17.6,34.6%,4.9%,100,23.3,6.0%,20.0%
2016,,623,17.4,31.1%,3.2%,392,23.6,4.8%,17.6%
2017,,604,16.6,34.4%,1.8%,333,23.2,0.3%,15.3%
2018,,133,16.6,36.1%,1.5%,61,23.6,1.6%,14.8%
2019,,431,16.8,28.5%,2.1%,368,23.4,1.1%,14.7%
2020,,185,18.1,24.9%,1.6%,119,24.1,1.7%,15.1%
2021,,322,17.4,21.7%,2.2%,220,23.9,0.5%,16.8%
2022,,562,17.5,25.6%,2.1%,323,22.1,1.9%,12.4%
