,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2015,LAD,NL,27,113,98,17,33,8,1,4,17,14,19,2,0,1,.337,.425,.561,.986
*,2016,LAD,NL,157,687,627,105,193,40,5,26,72,54,133,3,3,4,.308,.365,.512,.877
*,2017,LAD,NL,145,613,539,85,159,33,0,22,77,67,131,4,2,4,.295,.375,.479,.854
,2018,LAD,NL,26,115,101,13,27,5,1,2,13,11,17,0,0,2,.267,.348,.396,.744
,2019,LAD,NL,134,541,489,82,133,44,1,19,87,44,98,1,0,4,.272,.335,.483,.818
,2020,LAD,NL,52,232,212,38,65,12,1,15,41,17,37,1,0,1,.307,.358,.585,.943
,2021,LAD,NL,95,409,353,54,108,22,3,16,57,48,66,1,1,5,.306,.394,.521,.915
*,2022,TEX,AL,151,663,593,91,145,24,1,33,83,58,103,3,0,7,.245,.317,.455,.772
,8 Seasons,2 Teams,,787,3373,3012,485,863,188,13,137,447,313,604,15,6,28,.287,.357,.494,.851
