Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,LAD,NL,3B,6,4,39.2,12,1,11,0,1,,1.000
2015,LAD,NL,SS,21,21,192.0,98,23,70,5,12,,.949
2016,LAD,NL,SS,155,149,1345.0,569,195,356,18,67,,.968
2017,LAD,NL,SS,138,134,1162.0,520,185,324,11,77,,.979
2017,LAD,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2018,LAD,NL,SS,25,24,221.1,93,26,64,3,11,,.968
2019,LAD,NL,SS,132,125,1082.2,457,138,304,15,59,,.967
2020,LAD,NL,SS,43,43,376.0,167,46,113,8,16,,.952
2020,LAD,NL,DH,9,9,0.0,0,0,0,0,0,,.000
2021,LAD,NL,SS,92,90,803.0,314,104,202,8,22,,.975
2022,TEX,AL,SS,144,144,1259.0,600,176,407,17,91,,.972
2022,TEX,AL,DH,7,7,0.0,0,0,0,0,0,,.000
8 Seasons,LAD,NL,3B,6,4,39.2,12,1,11,0,1,,1.000
,2 Teams,,SS,750,730,6441.0,2818,893,1840,85,355,,.970
,2 Teams,,DH,17,17,0.0,0,0,0,0,0,,.000
