 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,129,517,1,-4,4,3,5
2016,,729,"2,680",17,-20,17,10,25
2017,,653,"2,404",18,-18,18,11,30
2018,,113,425,-3,-4,6,2,1
2019,,553,"1,993",6,-23,13,10,7
2020,,312,"1,107",7,0,7,5,19
2021,,459,"1,587",8,-4,15,10,29
2022,,656,"2,267",2,-24,16,10,4
