,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,663,593,91,145,33,83,3,.245,.317,.455,.772
8 Seasons,3373,3012,485,863,137,447,15,.287,.357,.494,.851
