PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cortes,5.0,3,0,0,1,12,0,0.00
Green,1.2,2,0,0,1,2,0,0.00
"Loáisiga(L, 0-1)",1.0,2,4,4,2,1,0,8.44
Luetge,0.1,2,1,1,0,1,0,2.08
,8.0,9,5,5,4,16,0,
