PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Peterson, D",4.2,6,4,4,4,1,0,3.03
"Holderman(W, 2-0)",1.1,2,1,1,0,1,0,0.96
Shreve,1.0,0,0,0,0,1,0,4.67
Nogosek,2.0,2,0,0,1,0,0,0.00
,9.0,10,5,5,5,3,0,
