PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa",7.0,3,1,1,1,7,1,3.38
Familia,1.0,0,0,0,0,1,0,3.12
Norwood,0.1,4,4,4,0,0,1,10.29
"Knebel(L, 0-2)(BS, 1)",0.2,4,3,3,0,1,0,3.27
,9.0,11,8,8,1,9,2,
