BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,3,0,0,0,0,3,1,.289,.894
BichetteSS,4,0,2,1,0,0,0,.236,.615
Guerrero1B,4,0,2,0,0,0,3,.287,.894
Gurriel Jr.LF,4,0,0,0,0,1,3,.275,.720
"Tapia, RRF",4,0,1,0,0,0,2,.228,.548
"Chapman, M3B",3,0,0,0,0,0,2,.213,.671
a-CapraPH,1,0,0,0,0,0,0,.000,.000
CollinsDH,4,0,0,0,0,2,1,.234,.748
KirkC,4,1,2,0,0,0,1,.254,.612
Espinal2B,3,0,1,0,0,1,1,.253,.728
,34,1,8,1,0,7,14,,
