PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Manoah,6.0,3,1,1,1,7,1,1.45
"Cimber(L, 4-1)",0.1,2,3,1,0,1,0,2.19
Merryweather,0.0,3,3,3,0,0,0,8.38
Thornton,1.2,1,0,0,1,3,0,2.77
Vasquez,1.0,1,2,2,1,1,1,15.43
,9.0,10,9,4,3,12,2,
