BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hicks, ACF",3,2,2,1,2,0,0,.283,.738
JudgeRF,5,1,2,3,0,3,2,.303,1.035
LocastroRF,0,0,0,0,0,0,0,.231,.795
Rizzo1B,5,0,1,0,0,1,2,.253,.978
StantonDH,4,2,1,2,1,2,2,.267,.743
Donaldson3B,5,1,1,1,0,1,4,.210,.691
Torres2B,4,0,0,0,0,1,1,.225,.683
GonzalezLF,4,1,2,1,0,1,0,.308,.871
Kiner-FalefaSS,4,1,1,0,0,3,1,.311,.738
TrevinoC,4,1,0,1,0,0,2,.161,.406
,38,9,10,9,3,12,14,,
