 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,32,64,50,-2,-0.7,0,0.6,-0.2,32.9
2017,23,41,56.1,1,-0.1,0.6,0.1,0.7,34
2018,49,82,59.8,6,-0.4,0.8,0.5,0.9,35.1
2019,37,73,50.7,5,-0.2,1,0.5,1.3,34.9
2020,19,33,57.6,1,-0.5,-0.4,0.3,-0.7,33
2021,38,75,50.7,2,-0.6,-0.4,0.6,-0.5,33
2022,21,52,40.4,-2,-0.2,-0.1,0.7,0.3,33.2
