Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2015,26,2281,464,31,6.7,4.9,87.8,111.9,5.5,32.8,.276,.455,.337,.344,.404,35.1,19.4,4.3
2016,27,1995,386,21,5.4,4.0,87.5,111.6,9.2,35.8,.281,.435,.351,.332,.389,37.0,19.7,4.3
2017,28,1318,248,14,5.6,4.1,83.2,109.9,9.3,35.1,.264,.410,.312,.322,.364,29.2,18.6,5.9
2018,29,2267,454,34,7.5,5.6,88.4,112.0,8.9,31.5,.266,.456,.337,.335,.384,38.8,18.0,5.8
2019,30,2127,451,36,8.0,6.1,88.6,111.6,8.2,31.3,.297,.507,.353,.362,.409,38.6,16.0,4.3
2020,31,943,188,12,6.4,4.8,87.1,110.6,6.5,30.3,.264,.420,.333,.326,.357,30.3,16.4,4.8
2021,32,1970,371,31,8.4,5.9,87.6,112.9,4.6,32.6,.277,.438,.364,.347,.389,39.6,18.8,8.2
2022,33,1920,369,25,6.8,5.0,86.8,113.3,7.5,38.5,.276,.428,.355,.336,.386,33.9,19.2,5.1
Player,,14821,2931,204,7.0,5.1,87.4,113.3,7.5,33.5,.277,.449,.345,.340,.389,36.1,18.4,5.3
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
