Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,512,8,1.6,.346,.575
2017,R,334,3,0.9,.310,.231
2018,R,603,30,5.0,.338,.321
2019,R,581,17,2.9,.344,.500
2020,R,249,16,6.4,.332,.344
2021,R,524,29,5.5,.371,.240
2022,R,505,20,4.0,.352,.418
