Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-2,,0,-2,2,0,-2,0,-1,-3,86,85,-1
2017,1,,-1,0,1,-1,0,1,0,1,88,88,0
2018,8,,-1,-1,4,2,2,1,2,6,88,90,2
2019,2,,0,-1,-3,-4,3,-1,3,5,87,87,0
2020,2,,0,1,0,1,1,0,0,1,88,90,2
2021,1,,3,-1,2,3,0,-2,0,-2,87,87,0
2022,-2,,0,0,0,0,-1,1,-1,-2,87,87,0
