,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2012,PIT,NL,47,182,167,18,43,3,6,5,17,8,50,12,5,3,.257,.300,.437,.737
,2013,PIT,NL,135,566,510,83,143,26,10,12,35,25,138,41,15,24,.280,.343,.441,.784
,2014,PIT,NL,135,545,495,73,144,29,6,13,56,33,131,30,11,17,.291,.356,.453,.809
,2015,PIT,NL,153,633,579,84,166,30,2,19,81,27,123,30,10,19,.287,.337,.444,.781
*,2016,PIT,NL,129,529,489,71,152,34,5,9,46,23,104,47,12,16,.311,.362,.456,.818
,2017,PIT,NL,77,339,309,48,85,7,2,7,31,20,63,21,4,8,.275,.333,.379,.712
,2018,PIT,NL,145,606,559,81,155,32,5,20,72,35,109,33,14,8,.277,.327,.460,.787
,2019,PIT,NL,132,586,539,97,159,31,6,23,82,25,94,25,6,16,.295,.342,.503,.845
,2020,AZ,NL,33,138,122,23,38,8,1,2,14,10,19,5,2,5,.311,.384,.443,.827
,2020,MIA,NL,28,112,106,13,26,6,0,4,13,2,22,5,0,4,.245,.286,.415,.701
,2020,2 Teams,,61,250,228,36,64,14,1,6,27,12,41,10,2,9,.281,.340,.430,.770
,2021,MIA,NL,64,275,233,52,71,11,1,7,25,32,57,22,3,8,.305,.405,.451,.856
,2021,OAK,AL,56,251,234,37,74,16,2,5,30,11,42,25,2,5,.316,.359,.466,.825
,2021,2 Teams,,120,526,467,89,145,27,3,12,55,43,99,47,5,13,.310,.383,.458,.841
*,2022,NYM,NL,118,505,466,76,136,24,5,16,63,26,97,18,9,13,.292,.347,.468,.815
,11 Seasons,5 Teams,,1252,5267,4808,756,1392,257,51,142,565,277,1049,314,93,146,.290,.346,.453,.799
