PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa",7.0,1,0,0,1,9,0,3.74
Familia,1.0,0,0,0,0,1,0,5.40
"Knebel(L, 0-1)",1.0,2,1,1,0,0,0,1.29
,9.0,3,1,1,1,10,0,
