PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Hernández, C(L, 0-2)",4.2,7,6,6,2,2,0,7.15
"Garrett, A",1.1,0,0,0,0,2,0,3.38
Bolaños,2.0,2,0,0,1,1,0,3.00
,8.0,9,6,6,3,5,0,
