 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,35,125,6,-1,2,1,7
2017,,477,"1,845",0,-14,4,7,-3
2018,,438,"1,713",16,-13,1,6,10
2019,,493,"2,021",-11,-11,7,9,-6
2020,,163,682,2,-4,3,3,3
2021,,615,"2,382",10,-26,11,14,8
2022,,521,"2,027",-3,-13,11,8,4
