Season,Team,Pos,PA,Depth (ft.),Angle
2016,SD,9,308,289,26
2017,SD,9,4308,296,26
2018,SD,7,1969,297,-27
2018,SD,9,1634,295,26
2019,SD,8,78,326,2
2019,SD,9,2149,301,27
2019,SD,7,2063,303,-27
2020,TB,3,39,113,35
2020,TB,9,1224,293,28
2021,BOS,8,213,319,1
2021,BOS,9,4996,292,28
2022,MIL,3,5,109,37
2022,MIL,9,4325,295,28
