Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,SD,NL,RF,9,8,73.2,17,14,1,2,0,,.882
2017,SD,NL,RF,120,117,1015.0,222,204,9,9,1,,.959
2017,SD,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2018,SD,NL,LF,58,54,476.0,102,96,3,3,0,,.971
2018,SD,NL,RF,50,41,379.0,104,96,3,5,1,,.952
2018,SD,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2019,SD,NL,LF,67,65,478.1,102,96,5,1,2,,.990
2019,SD,NL,CF,4,1,15.0,11,11,0,0,0,,1.000
2019,SD,NL,RF,86,45,504.2,123,114,8,1,1,,.992
2020,TB,AL,1B,2,1,9.0,7,5,2,0,0,,1.000
2020,TB,AL,RF,39,32,285.0,64,60,1,3,0,,.953
2020,TB,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,BOS,AL,CF,8,6,47.0,11,11,0,0,0,,1.000
2021,BOS,AL,RF,138,133,1166.0,270,242,16,12,3,,.956
2021,BOS,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,MIL,NL,1B,1,0,1.0,0,0,0,0,0,,.000
2022,MIL,NL,RF,118,118,1043.2,225,210,11,4,2,,.982
2022,MIL,NL,DH,7,7,0.0,0,0,0,0,0,,.000
7 Seasons,2 Teams,,CF,12,7,62.0,22,22,0,0,0,,1.000
,4 Teams,,RF,560,494,4467.0,1025,940,49,36,8,,.965
,4 Teams,,DH,12,12,0.0,0,0,0,0,0,,.000
,SD,NL,LF,125,119,954.1,204,192,8,4,2,,.980
,2 Teams,,1B,3,1,10.0,7,5,2,0,0,,1.000
