 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,88,93.9,92.6,1,--,--,--,--,--,--,--,--,--,--,--,87,92.6
2021,396,98.4,94.6,--,--,--,--,--,--,--,--,--,--,13,--,383,94.6
2022,344,98.4,93.7,--,--,--,--,--,--,--,--,--,--,--,--,344,93.7
