PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Garcia, L(W, 8-5)",5.0,3,2,2,2,6,1,3.65
"Bielak(H, 1)",3.1,4,3,3,1,4,1,3.48
"Montero(S, 7)",0.2,1,0,0,0,0,0,1.85
,9.0,8,5,5,3,10,2,
