BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",4,0,1,0,1,2,1,.227,.736
"Reynolds, BDH",5,1,2,2,0,0,2,.258,.792
"Castro, R2B",4,0,1,0,1,1,2,.233,.727
SuwinskiCF,5,0,0,0,0,4,2,.202,.696
Hayes3B,4,2,2,1,1,0,0,.246,.670
GamelLF-RF,5,0,2,1,0,0,2,.236,.696
Chavis1B,5,2,2,0,0,1,2,.237,.677
MitchellRF,4,1,1,2,0,1,2,.238,.666
"Allen, GLF",0,0,0,0,0,0,0,.208,.593
HeinemanC,3,0,1,0,0,0,1,.224,.555
,39,6,12,6,3,9,14,,
