BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FriedlDH,3,1,1,0,1,0,0,.263,.781
India2B,4,0,1,0,0,0,2,.261,.740
"Farmer, K3B",4,0,1,1,0,1,0,.266,.715
FraleyLF,2,0,0,0,1,0,0,.245,.823
1-FairchildPR-LF,0,0,0,0,0,0,0,.184,.702
AquinoRF,4,0,1,0,0,0,2,.208,.623
SenzelCF,4,0,0,0,0,1,2,.234,.603
Steer1B,4,0,1,0,0,1,0,.229,.725
BarreroSS,4,0,0,0,0,3,1,.165,.436
RomineC,2,0,0,0,1,0,1,.174,.472
,31,1,5,1,3,6,8,,
