BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,5,0,0,0,0,2,5,.286,.833
LindorSS,3,1,1,1,1,0,2,.250,1.054
"Canó, R2B",4,0,0,0,0,2,3,.273,.606
Alonso1B,4,0,0,0,0,1,0,.222,.707
Escobar3B,4,1,1,0,0,0,0,.273,.974
"Smith, DoDH",2,0,0,0,2,1,0,.143,.476
CanhaRF,4,0,3,1,0,1,1,.700,1.469
McNeilLF,3,0,1,0,1,0,3,.438,1.125
NidoC,3,0,1,0,0,2,2,.286,.572
"a-Davis, JPH",1,0,0,0,0,0,1,.200,.733
,33,2,7,2,4,9,17,,
