PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Carrasco,5.2,2,1,1,0,5,1,1.59
"Shreve(H, 1)",1.1,1,1,1,1,1,0,6.75
"Williams(L, 0-1)(BS, 1)",1.0,2,2,0,0,0,0,0.00
,8.0,5,4,2,1,6,1,
