Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,0,,0,0,-1,-2,1,1,1,2,84,84,0
2020,-1,,0,-1,0,-1,0,0,0,0,96,86,-10
2021,-1,,0,0,0,0,0,-1,0,-1,54,0,-54
