Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,ATL,NL,297,129,128,0,2,.293,30,4,44,1119,3.768,.364,.061,.148,.245,1,0
2020,ATL,NL,206,78,93,0,1,.280,16,5,27,773,3.752,.238,.039,.327,.176,1,0
2021,ATL,NL,662,313,254,0,8,.368,67,11,80,2595,3.920,.254,.050,.310,.227,5,0
2022,ATL,NL,693,325,269,0,4,.315,79,13,89,2641,3.811,.242,.055,.339,.255,3,2
4 Seasons,ATL,NL,1858,845,744,0,15,.327,192,33,240,7128,3.836,.265,.052,.286,.235,10,2
