Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,ATL,NL,1B,6,3,40.2,36,33,2,1,6,,.972
2019,ATL,NL,3B,5,4,38.0,13,4,9,0,0,,1.000
2019,ATL,NL,LF,58,58,474.2,94,87,3,4,1,,.957
2019,ATL,NL,RF,2,2,14.0,2,2,0,0,0,,1.000
2019,ATL,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,ATL,NL,1B,4,2,21.0,18,14,3,1,1,,.944
2020,ATL,NL,3B,46,45,383.1,132,31,95,6,6,,.955
2020,ATL,NL,LF,4,4,27.0,4,4,0,0,0,,1.000
2021,ATL,NL,1B,10,3,46.2,43,40,3,0,8,,1.000
2021,ATL,NL,3B,156,153,1326.2,403,89,300,14,18,,.965
2021,ATL,NL,RF,1,0,2.0,0,0,0,0,0,,.000
2022,ATL,NL,1B,1,1,7.0,11,7,2,2,0,,.818
2022,ATL,NL,3B,159,157,1408.0,394,97,283,14,20,,.964
4 Seasons,ATL,NL,1B,21,9,115.1,108,94,10,4,15,,.963
,ATL,NL,3B,366,359,3156.0,942,221,687,34,44,,.964
,ATL,NL,LF,62,62,501.2,98,91,3,4,1,,.959
,ATL,NL,RF,3,2,16.0,2,2,0,0,0,,1.000
,ATL,NL,DH,1,1,0.0,0,0,0,0,0,,.000
