 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,246,87.1,85.1,16,--,--,--,221,85.1,--,--,9,--,--,--,--,--
2021,785,88.8,84.2,29,--,--,--,755,84.2,--,--,--,--,--,--,1,--
2022,668,87.4,83.7,7,--,--,--,661,83.7,--,--,--,--,--,--,--,--
