Season,Team,Pos,PA,Depth (ft.),Angle
2019,ATL,9,65,299,27
2019,ATL,3,171,113,35
2019,ATL,7,2034,305,-26
2019,ATL,5,152,116,-35
2020,ATL,3,85,114,35
2020,ATL,7,105,304,-26
2020,ATL,5,1672,117,-33
2021,ATL,5,5481,115,-26
2021,ATL,9,13,294,29
2021,ATL,3,193,112,35
2022,ATL,5,5830,114,-27
2022,ATL,3,28,110,36
