Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,22,27.8,4.46,,32,11,206,70.0
2020,23,26.9,4.62,1,19,22,248,50.6
2021,24,27.8,4.49,,15,23,208,69.3
2022,25,27.8,4.5,,19,24,242,61.3
