Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,294,96,32.7,.313,.294
2020,R,204,91,44.6,.276,.339
2021,R,654,214,32.7,.383,.366
2022,R,692,283,40.9,.396,.349
