PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Gonsolin(W, 1-0)",6.0,1,0,0,3,3,0,0.69
Graterol,1.0,0,0,0,0,1,0,0.00
"White, M",2.0,2,1,1,1,2,0,5.14
,9.0,3,1,1,4,6,0,
