PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Whitlock,5.0,2,2,2,0,9,1,1.25
"Davis, A(BS, 1)",2.0,1,1,1,0,4,1,3.09
Strahm,1.0,0,0,0,0,0,0,3.12
"Robles(H, 5)",0.2,0,1,1,2,1,0,1.74
"Diekman(BS, 2)",0.1,1,0,0,1,0,0,4.15
"Barnes, M(L, 0-2)",0.2,2,4,3,1,1,1,8.64
Sawamura,0.1,2,2,2,0,1,1,4.15
,10.0,8,10,9,4,16,4,
