PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cueto(W, 2-4)",6.0,7,3,3,1,5,3,3.33
"Kelly, J",1.0,2,1,1,0,1,0,8.38
Foster,1.0,0,0,0,0,1,0,5.10
"Ruiz, J",1.0,0,0,0,0,2,0,4.40
,9.0,9,4,4,1,9,3,
