PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Silseth,4.1,5,3,3,0,6,1,5.23
"Ortega, O(L, 1-3)",0.2,3,2,2,0,1,1,4.11
Loup,0.1,2,0,0,1,1,0,4.33
"Peguero, E",0.2,2,4,4,2,0,0,14.54
Barria,3.0,5,2,2,1,4,0,3.11
,9.0,17,11,11,4,12,2,
