Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2020,,24.5,1,1.2,0,0,2,0,0.0
2021,,24.6,8,7.7,0,2,9,1,12.5
2022,,25.1,14,12.1,2,13,8,6,42.9
Player,,24.9,23,21.0,2,15,19,7,30.4
