 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,168,87.3,82.1,--,--,116,79.2,13,--,38,--,1,--,--,--,--,--
2021,228,91.7,84.0,--,--,143,82.6,--,--,79,86.3,3,--,3,--,--,--
2022,667,90.3,85.3,--,--,--,--,--,--,667,85.3,--,--,--,--,--,--
