Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,81,0,0.0,.305,
2020,R,126,0,0.0,.265,
2021,R,167,0,0.0,.330,
2022,R,506,9,1.8,.312,.707
