Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,22,28.7,4.13,2,12,6,79,88.6
2020,23,28.8,4.26,,3,2,35,93.2
2021,24,28.8,4.28,3,5,7,65,90.5
2022,25,29.1,4.28,12,10,5,49,92.3
