BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterCF,3,0,0,0,1,2,3,.266,.776
Flores1B,4,0,1,0,0,1,0,.249,.775
YastrzemskiRF,4,0,0,0,0,2,2,.222,.713
LongoriaDH,4,1,1,0,0,2,2,.243,.783
"Davis, J3B",4,0,1,0,0,3,2,.241,.705
"Crawford, BraSS",4,0,1,0,0,1,0,.220,.637
Estrada2B,3,0,2,1,0,0,0,.266,.733
BartC,3,0,1,0,1,2,2,.214,.698
"Gonzalez, LLF",4,0,0,0,0,2,5,.269,.729
,33,1,7,1,2,15,16,,
