PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Santana, D(L, 3-7)",2.0,1,1,1,2,3,0,5.40
Hearn,2.0,2,0,0,0,4,0,5.05
Burke,1.0,0,2,0,2,2,0,1.55
Arihara,2.0,4,2,1,1,1,0,5.29
"Martin, B",1.0,0,0,0,0,1,0,3.52
,8.0,7,5,2,5,11,0,
