BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,1,1,2,0,2,4,.244,.721
SeagerSS,5,0,0,0,0,0,4,.253,.797
"Lowe, N1B",4,1,1,1,0,1,1,.305,.864
"García, AdRF",4,0,0,0,0,0,0,.251,.743
MathiasDH,3,0,0,0,1,1,0,.298,.865
CalhounLF,4,0,2,0,0,2,1,.209,.622
1-TaverasPR,0,0,0,0,0,0,0,.285,.730
"Duran, E3B",4,0,2,0,0,1,2,.242,.662
ViloriaC,3,0,0,0,0,1,3,.159,.550
a-HeimPH,1,0,1,0,0,0,0,.238,.731
"Thompson, BCF",4,1,3,0,0,1,0,.305,.714
,37,3,10,3,1,9,15,,
