PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Springs,4.0,5,3,3,2,5,2,2.53
"Thompson, R(W, 2-2)",1.0,2,0,0,0,1,0,5.13
"Raley, B",1.0,0,0,0,0,3,0,2.13
Armstrong,1.0,2,1,1,0,0,0,6.10
Poche,1.0,0,0,0,1,2,0,2.16
Adam,1.0,2,0,0,0,2,0,1.39
,9.0,11,4,4,3,13,2,
