PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(L, 8-6)",5.2,8,7,7,2,4,0,3.68
Diekman,0.1,1,0,0,1,0,0,2.83
Robles,1.0,1,1,1,2,1,0,5.84
Danish,2.0,1,0,0,1,3,0,3.99
,9.0,11,8,8,6,8,0,
