BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Duran, JaCF",4,1,2,0,1,1,2,.329,.909
RefsnyderLF,5,0,2,0,0,0,2,.308,.887
MartinezDH,5,1,3,0,0,2,3,.312,.872
BogaertsSS,3,1,1,3,1,1,4,.318,.856
VázquezC,4,0,0,0,0,0,5,.290,.756
Story2B,5,1,1,1,0,3,5,.224,.724
CorderoRF,3,0,0,0,1,2,0,.248,.719
Arroyo3B,4,0,1,0,0,1,1,.229,.662
Dalbec1B,4,0,1,0,0,3,1,.208,.610
,37,4,11,4,3,13,23,,
