PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Miley,3.0,5,3,3,5,1,0,9.00
"Gsellman(L, 0-1)",2.2,3,1,1,0,2,0,7.11
Martin,0.1,3,1,1,0,1,0,3.86
Givens,1.0,0,0,0,0,2,0,2.31
Norris,1.0,0,0,0,0,1,0,6.75
,8.0,11,5,5,5,7,0,
