BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OrtegaRF,4,1,2,0,0,1,2,.220,.618
"a-Suzuki, SPH",1,0,1,0,0,0,0,.255,.845
"1-Vargas, IPR",0,1,0,0,0,0,0,.000,.000
ContrerasC,3,0,2,0,1,0,0,.292,.883
HappLF,5,1,2,1,0,1,5,.284,.794
Wisdom3B,4,0,0,0,0,3,4,.217,.734
Rivas1B,4,1,1,2,0,2,3,.286,.891
b-SchwindelPH,1,0,0,0,0,0,3,.200,.535
HoernerSS,4,0,1,0,0,1,0,.274,.696
HeywardCF,3,0,0,0,1,1,1,.220,.584
GomesDH,4,0,0,0,0,1,1,.204,.541
Villar2B,4,0,1,0,0,2,0,.258,.589
,37,4,10,3,2,12,19,,
