PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Seabold(L, 0-2)",2.2,9,7,7,2,2,1,11.91
Feliz,3.1,1,2,1,2,4,1,2.70
"Davis, A",2.0,3,2,2,0,1,0,2.55
Bradley Jr.,1.0,1,1,1,3,1,0,9.00
,9.0,14,12,11,7,8,2,
