,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2017,PHI,NL,50,212,170,37,44,7,0,18,48,37,46,2,0,3,.259,.396,.618,1.014
,2018,PHI,NL,153,660,558,89,137,38,0,34,96,87,150,5,3,9,.246,.354,.496,.850
,2019,PHI,NL,160,705,570,86,129,33,5,29,85,116,173,2,2,11,.226,.364,.454,.818
,2020,PHI,NL,41,185,151,35,37,9,0,10,26,29,43,1,0,5,.245,.384,.503,.887
,2021,PHI,NL,107,443,389,64,96,29,0,27,71,47,108,3,2,5,.247,.334,.530,.864
,2022,PHI,NL,156,672,589,81,145,33,2,30,79,72,169,2,1,6,.246,.332,.462,.794
,6 Seasons,PHI,NL,667,2877,2427,392,588,149,7,148,405,388,689,15,8,39,.242,.353,.492,.845
