Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2017,PHI,NL,212,105,78,0,2,.241,25,2,29,985,4.646,.217,.085,.804,.359,2,0
2018,PHI,NL,660,277,242,0,5,.272,72,7,71,2919,4.423,.227,.052,.580,.251,6,0
2019,PHI,NL,705,259,262,0,6,.267,67,10,79,3223,4.572,.245,.041,.671,.228,6,0
2020,PHI,NL,185,76,66,0,0,.276,19,4,28,769,4.157,.232,.054,.674,.258,4,0
2021,PHI,NL,443,206,195,0,2,.270,56,7,55,1886,4.257,.244,.061,.435,.283,6,0
2022,PHI,NL,672,272,215,0,4,.292,65,12,76,2897,4.311,.251,.045,.426,.216,4,1
6 Seasons,PHI,NL,2877,1195,1058,0,19,.273,304,42,338,12679,4.407,.239,.051,.563,.250,28,1
