BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Crawford, JSS",3,2,2,0,1,1,1,.254,.695
HanigerRF,3,2,1,0,1,2,2,.229,.674
a-TrammellPH-CF,0,0,0,0,1,0,0,.208,.727
France1B,4,2,2,4,0,1,4,.272,.778
SantanaDH,5,2,2,5,0,1,1,.200,.709
"Moore, DCF",4,0,1,0,0,2,1,.216,.767
LambRF,1,0,0,0,0,1,0,.216,.707
HaggertyLF,5,0,1,0,0,1,0,.271,.768
Toro3B,5,0,0,0,0,1,1,.180,.555
Frazier2B,3,0,0,0,1,0,0,.237,.612
CasaliC,2,1,0,0,2,1,1,.207,.640
,35,9,9,9,6,11,11,,
