Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,81,5,6.2,.229,.318
2020,R,21,5,23.8,.133,.000
2021,R,415,24,5.8,.341,.343
2022,R,580,15,2.6,.317,.497
