Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,22,27.2,4.36,,45,13,290,57.7
2020,23,27.5,,,22,15,168,66.6
2021,24,26.8,4.49,,54,36,380,43.9
2022,25,26.7,4.52,,59,46,411,34.2
