Season,Team,Pos,PA,Depth (ft.),Angle
2019,COL,4,486,149,12
2019,COL,6,244,145,-11
2020,COL,6,8,149,-15
2020,COL,4,150,147,15
2021,COL,6,702,148,-12
2021,COL,4,2836,151,13
2022,COL,4,5076,150,12
