Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,219",57.7,312,276,67,44,13,2,8,38,239,.243,.281,.391,.448,.318,.356,91.7,4,16.7,12.8
2022,Breaking,603,28.6,172,157,43,30,10,1,2,41,120,.274,.242,.389,.354,.305,.298,87.2,7,31.3,20.6
2022,Offspeed,290,13.7,97,94,30,20,7,0,3,22,72,.319,.257,.489,.362,.359,.280,88.8,2,28.6,25.3
2021,Fastballs,887,58.6,224,207,65,48,8,2,7,37,171,.314,.261,.473,.423,.359,.320,90.4,5,19.6,16.5
2021,Breaking,468,30.9,137,128,36,16,11,1,8,35,94,.281,.241,.570,.448,.372,.316,86.9,12,30.5,22.3
2021,Offspeed,158,10.4,54,52,9,7,2,0,0,12,40,.173,.251,.212,.299,.186,.258,86.9,0,20.9,18.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
