BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",5,0,0,0,0,1,4,.157,.579
Devers3B,5,1,1,0,0,0,3,.308,.821
MartinezDH,2,0,2,1,0,0,0,.268,.817
1-ArroyoPR-DH,3,0,1,0,0,1,0,.182,.356
BogaertsSS,4,0,2,0,0,2,2,.318,.825
VerdugoLF,4,0,1,0,0,0,4,.325,.983
Story2B,3,0,0,0,0,2,5,.233,.603
Dalbec1B,3,0,0,0,1,1,2,.139,.475
Bradley Jr.RF,4,0,2,0,0,1,1,.258,.730
WongC,4,0,1,0,0,1,2,.167,.310
,37,1,10,1,1,9,23,,
