BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,2,0,1,1,0,0,0,.277,.816
ZimmerCF,1,0,0,0,0,1,0,.000,.000
BichetteSS,5,0,1,2,0,2,2,.204,.500
GuerreroDH,2,0,0,0,3,2,1,.302,1.062
Gurriel Jr.LF,5,1,2,0,0,0,4,.289,.683
"Chapman, M3B",5,1,1,0,0,1,6,.225,.711
"Tapia, RRF",5,1,1,2,0,3,1,.200,.533
Espinal2B,2,1,0,1,1,0,0,.216,.599
KirkC,3,1,2,0,1,0,1,.273,.648
Biggio1B,4,1,1,0,0,2,2,.063,.349
,34,6,9,6,5,11,17,,
